latitude,longitude,acq_date,ndvi,ndmi,land_cover,label
37.70119,31.82759,2020-09-04,0.1626,-0.1736,7,1
37.26838,28.35294,2021-08-05,0.2612,-0.1002,5,1
37.26838,28.35294,2021-02-16,0.3602,-0.0637,5,0
37.46476,39.22018,2020-12-26,0.3242,-0.0765,4,1
37.46476,39.22018,2020-07-09,0.2543,-0.048,4,0
37.17834,36.88912,2020-07-14,0.1869,0.0815,4,1
37.17834,36.88912,2020-01-26,0.1888,-0.2578,4,0
36.79631,31.58282,2021-07-29,0.7681,0.1251,1,1
36.95225,39.56568,2021-06-14,0.148,-0.0904,4,1
36.95225,39.56568,2020-12-26,0.1685,-0.0146,4,0
37.70607,34.2545,2020-02-20,0.1009,-0.0916,4,0
37.4699,36.8978,2022-02-20,0.3084,-0.0653,4,1
37.4699,36.8978,2021-09-03,0.2238,0.0231,4,0
36.86761,31.56825,2021-07-28,0.3055,0.0156,1,1
41.33594,34.15215,2020-09-02,0.729,0.2767,1,1
36.91661,31.38515,2021-07-28,0.6942,0.1345,1,1
37.55256,39.345,2021-10-21,0.1261,-0.093,4,1
37.55256,39.345,2021-05-04,0.9117,0.5788,4,0
36.91202,35.81499,2021-03-11,0.1507,-0.1614,4,0
37.29952,28.37145,2021-08-05,0.8144,0.3249,1,1
37.29952,28.37145,2021-02-16,0.8921,0.3346,1,0
37.15559,42.53221,2021-06-21,0.1518,-0.0965,4,1
37.15559,42.53221,2021-01-02,0.2266,-0.1034,4,0
36.84811,35.20443,2023-09-13,0.5544,0.1745,4,1
36.84811,35.20443,2023-03-27,0.5885,0.1449,4,0
37.81042,31.74204,2020-08-19,0.1382,-0.0627,7,1
37.81042,31.74204,2020-03-02,0.2877,-0.0723,7,0
37.22814,36.01264,2020-08-25,0.3198,-0.1621,4,1
37.22814,36.01264,2020-03-08,0.1298,-0.1485,4,0
37.57732,38.00698,2023-08-24,0.1243,-0.0371,4,1
37.57732,38.00698,2023-03-07,0.8526,0.4436,4,0
37.26585,39.57119,2021-06-26,0.3217,0.0581,4,1
37.26585,39.57119,2021-01-07,0.2579,-0.2859,4,0
37.05988,27.76976,2021-08-01,0.7548,0.3056,1,1
37.05988,27.76976,2021-02-12,0.8251,0.3255,1,0
36.24001,33.63053,2021-02-11,0.3204,0.0882,5,0
37.33811,30.7739,2021-02-22,0.6401,0.0704,1,0
37.36022,37.17485,2023-07-28,0.1647,-0.1062,4,1
37.36022,37.17485,2023-02-08,0.4096,0.0928,5,0
37.02873,40.13809,2023-11-07,0.3348,-0.0041,4,1
37.15722,42.50859,2021-06-05,0.2575,0.0338,4,1
37.15722,42.50859,2020-12-17,0.1295,-0.1098,4,0
36.98922,28.79685,2021-08-03,0.7309,0.2337,1,1
36.98922,28.79685,2021-02-14,0.8177,0.4057,1,0
37.28538,28.40555,2021-08-04,0.3454,-0.0598,5,1
37.28538,28.40555,2021-02-15,0.4423,0.0222,5,0
37.27702,38.3648,2020-02-02,0.2753,-0.1072,4,0
37.299,42.30171,2021-06-10,0.2797,-0.0385,4,1
37.299,42.30171,2020-12-22,0.2791,-0.0196,5,0
37.03238,39.02061,2020-06-23,0.2279,0.145,4,1
37.03238,39.02061,2020-01-05,0.538,0.1514,4,0
37.06364,27.81963,2021-08-05,0.6652,0.1281,1,1
37.06364,27.81963,2021-02-16,0.802,0.1982,1,0
38.27588,41.86682,2021-08-25,0.1068,-0.1265,4,1
36.89301,31.55566,2021-07-28,0.6317,0.2225,1,1
37.79417,39.24829,2023-06-16,0.4607,0.123,4,1
37.79417,39.24829,2022-12-28,0.2124,-0.0693,4,0
37.0742,39.09788,2021-06-15,0.2897,0.2018,4,1
37.0742,39.09788,2020-12-27,0.6219,0.1604,4,0
36.55516,36.50335,2023-07-01,0.0069,-0.1697,4,1
36.55516,36.50335,2023-01-12,0.7956,0.3944,4,0
41.36055,42.95478,2020-11-25,-0.0418,0.8557,8,0
37.5834,39.48535,2020-08-20,0.1391,0.0471,4,1
37.5834,39.48535,2020-03-03,0.6863,0.2727,4,0
36.96163,31.49681,2021-07-30,0.4873,-0.079,5,1
36.79996,28.84399,2022-01-02,0.7408,0.3411,1,0
37.00416,28.76756,2021-07-31,0.3209,0.0403,1,1
37.00416,28.76756,2021-02-11,0.436,0.1321,1,0
37.4958,37.20643,2020-10-17,0.1578,-0.0678,4,1
37.4958,37.20643,2020-04-30,0.9211,0.5182,4,0
37.25045,39.74303,2021-06-20,0.4443,0.1327,4,1
37.25045,39.74303,2021-01-01,0.1668,-0.1267,4,0
37.14831,36.06017,2020-08-24,0.3088,-0.1789,4,1
37.14831,36.06017,2020-03-07,0.1443,-0.1677,4,0
37.82087,27.663,2022-07-07,0.1316,-0.1215,0,1
37.82087,27.663,2022-01-18,0.7885,0.3943,4,0
37.03195,39.01998,2020-06-23,0.2511,0.1055,4,1
37.03195,39.01998,2020-01-05,0.5572,0.1843,4,0
36.84401,28.33784,2022-09-21,0.8423,0.2904,1,1
36.84401,28.33784,2022-04-04,0.7981,0.2622,1,0
41.4814,34.80751,2024-02-10,0.2313,-0.1004,5,1
38.91036,37.41773,2023-10-05,0.1371,-0.04,7,1
38.91036,37.41773,2023-04-18,0.2788,-0.0838,7,0
38.80509,33.5419,2020-07-07,0.2284,-0.1028,4,1
37.18322,44.36718,2021-09-05,0.3516,-0.0641,5,1
37.18322,44.36718,2021-03-19,0.4072,-0.0479,2,0
37.05307,40.39581,2022-06-27,0.2111,-0.0478,4,1
37.2685,39.65175,2023-06-16,0.1496,-0.0524,4,1
37.2685,39.65175,2022-12-28,0.1802,-0.1219,4,0
36.74577,39.60589,2020-07-23,0.1164,-0.0954,4,1
41.71952,26.42677,2020-08-07,0.1639,-0.1926,4,1
